src_bytes,count,service,srv_count,protocol_type,diff_srv_rate,same_srv_rate,flag,dst_bytes,srv_serror_rate,logged_in,duration,lnum_compromised,wrong_fragment,is_guest_login,num_failed_logins
132,1,unassigned,1,17,0,1,SF,132,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
112,1,unassigned,1,17,0,1,SF,112,0,1,0,0,0,0,0
52,1,unassigned,1,6,0,1,OTH,52,0,1,104,0,0,0,0
52,1,unassigned,1,6,0,1,OTH,52,0,1,104,0,0,0,0
52,1,unassigned,1,6,0,1,OTH,52,0,1,104,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,104,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,104,0,0,0,0
557,1,unassigned,1,6,0,1,OTH,557,0,1,104,0,0,0,0
557,1,unassigned,1,6,0,1,OTH,557,0,1,104,0,0,0,0
52,1,unassigned,1,6,0,1,OTH,52,0,1,104,0,0,0,0
52,1,unassigned,1,6,0,1,OTH,52,0,1,104,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,104,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,104,0,0,0,0
557,1,unassigned,1,6,0,1,OTH,557,0,1,104,0,0,0,0
557,1,unassigned,1,6,0,1,OTH,557,0,1,104,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,104,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,104,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,104,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,104,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,104,0,0,0,0
1084,1,unassigned,1,6,0,1,OTH,1084,0,1,104,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,104,0,0,0,0
52,1,unassigned,1,6,0,1,OTH,52,0,1,106,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,106,0,0,0,0
557,1,unassigned,1,6,0,1,OTH,557,0,1,106,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,106,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,106,0,0,0,0
1476,1,unassigned,1,6,0,1,OTH,1476,0,1,106,0,0,0,0
1084,1,unassigned,1,6,0,1,OTH,1084,0,1,106,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,106,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,106,0,0,0,0
198,1,unassigned,1,6,0,1,OTH,198,0,1,106,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,4489,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,4489,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,4489,0,0,0,0
149,1,unassigned,1,6,0,1,OTH,149,0,1,4489,0,0,0,0
539,1,unassigned,1,6,0,1,OTH,539,0,1,4489,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,4489,0,0,0,0
71,1,unassigned,1,6,0,1,OTH,71,0,1,4489,0,0,0,0
141,1,unassigned,1,6,0,1,OTH,141,0,1,4489,0,0,0,0
539,1,unassigned,1,6,0,1,OTH,539,0,1,4489,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,4489,0,0,0,0
1167,1,unassigned,1,17,0,1,SF,1167,0,1,121801,0,0,0,0
1167,1,unassigned,1,17,0,1,SF,1167,0,1,121801,0,0,0,0
1167,1,unassigned,1,17,0,1,SF,1167,0,1,121801,0,0,0,0
40,1,unassigned,1,6,0,1,OTH,40,0,1,121801,0,0,0,0
