src_ip,dst_ip,protocol,src_port,dst_port,duration, service,src_bytes,dst_bytes,wrong_fragment,hot,num_failed_logins,logged_in,lnum_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count
110.44.112.200,192.168.101.7,17,53,64715,0,64715,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,53,63976,0,63976,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,61578,443,0,443,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,61578,443,0,443,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,61578,443,0,443,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,61578,443,0,443,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,61578,443,0,443,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,443,61578,0,61578,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,443,61578,0,61578,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.7,17,443,61578,0,61578,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,20.212.97.243,6,54860,443,104,443,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.97.243,192.168.101.7,6,443,54857,104,54857,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.97.243,192.168.101.7,6,443,54857,104,54857,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,20.212.97.243,6,54857,443,104,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,20.212.97.243,6,54857,443,104,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,20.212.97.243,6,54857,443,104,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
